,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
37317,97,140.694872869217,1.5,0.8620850579687062,43.31747429453958,1.5,0.1405560862718931,60.91225089270913,1.5,0.0914635516338429,115.75864473699966,10.0,0.7133705983092107,224.6325105856641,1.0,0.6230847061120167,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37317,2400110801.405957,0,0.0,0.0,3.618334786866637,0.0
37326,96,332.5600672254093,1.0,0.4005887724892085,251.7030542842876,1.0,0.485235045806373,284.33717976522325,1.0,0.0951949203946121,39.73580980093265,10.0,0.1249851675557797,191.78215383737728,10.0,0.1135833590031829,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37326,2808715860.798162,0,0.0,0.0,4.038758869820619,0.0
37330,29,258.0736957743783,1.5,0.5289909534493401,341.9212630903698,1.5,0.0132969282769346,227.9778461580421,10.0,0.1794595803961006,42.962940269214215,1.0,0.727193463494011,234.704713466286,1.5,0.4412592437689049,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37330,977843633.5715084,0,0.0,0.0,0.8955104339844414,0.0
37340,8,277.567187079981,10.0,0.1486305198643164,308.8554289980994,1.0,0.4458885866936271,154.2999075302472,1.5,0.0922031854024239,292.498914112284,10.0,0.174276322459593,249.1701800536066,1.0,0.734971507551535,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37340,3157761720.38504,0,0.0,0.0,1.982210070306936,0.0
37342,11,157.91303977298463,10.0,0.2909637106125461,135.0714078531187,10.0,0.4995426344189383,274.26353309716524,10.0,0.0519039504624859,173.2537200679027,1.0,0.808312087374408,117.03588401584496,1.5,0.1992958746645282,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37342,5101533924.025551,0,0.0,0.0,4.690182345352527,0.0
37343,10,327.4261056510624,10.0,0.2660895019990519,205.73063365411707,1.5,0.4884574685945486,318.79616698734867,10.0,0.2036032342190046,284.6669825641328,1.5,0.8685099703305154,308.73589786440107,1.5,0.24551856222162,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37343,2590603853.871584,0,0.0,0.0,1.7700671918188653,0.0
37345,55,282.3342468810115,1.0,0.5185389254010254,42.78397766951038,1.5,0.6309876224789316,205.50235272966637,1.0,0.1026476340501709,48.29396176061418,10.0,0.2772918165286512,144.56315131231227,1.0,0.2069680598197537,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37345,2205608239.318871,0,0.0,0.0,3.3298309015133523,0.0
37346,38,99.94777320688694,1.5,0.2434033000444177,69.39180415086844,1.0,0.5126138087565881,165.49208307875986,10.0,0.0823584510181294,222.54984804449464,1.5,0.3334046944417527,182.86257836178564,10.0,0.1706007900793845,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37346,3627003587.340429,0,0.0,0.0,4.414494182706479,0.0
37349,84,194.8504654393377,10.0,0.8831768579716873,113.35506286696132,1.0,0.966271209989117,293.5587880024413,10.0,0.1289343164433131,128.4022302455881,1.0,0.5406096447105948,73.15214682236642,1.5,0.6068549856677276,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37349,1851599589.8477647,0,0.0,0.0,3.2236257596443787,0.0
37350,6,110.84954397019372,10.0,0.7873310716982612,175.57229788911766,10.0,0.0501384676079287,346.7322415648149,1.0,0.1249654598546122,234.949109293547,1.0,0.8255178420081323,245.11998871180344,1.5,0.4779781643319782,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37350,1519453644.7164752,0,0.0,0.0,2.377508276654261,0.0
