A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,Run ID
97,320.7329962079514,10.0,0.4489586707641672,105.34441844327856,1.5,0.678769308109881,38.48090104804523,1.5,0.0310698769612254,55.669895863058535,1.0,0.7626652107696402,303.4412024242389,1.5,0.5875060551715068,4.5,3.5,3.5,2202
91,146.20904071544575,10.0,0.3134232470138293,33.84935691264954,1.0,0.0956163348553674,312.10670325049574,1.5,0.0294100124459908,304.39402383331145,1.5,0.767078809998539,325.3225010904359,1.0,0.310551667768956,1.5,1.5,1.5,12414
48,303.9724806509522,1.0,0.8386157391881242,229.59956357639655,10.0,0.0058062230542464,169.07331518980158,10.0,0.0586064446977276,32.30689292271361,1.5,0.1247217379198396,314.7878405172105,1.5,0.8865122728645025,4.5,3.5,3.5,12482
129,85.43582621062208,1.5,0.290610511948889,333.37922446627965,1.0,0.0202901792555838,65.11831963856028,1.0,0.1216040663588337,62.72036279088064,10.0,0.6977755406446446,338.0613490952304,1.5,0.6862106736509288,2.5,1.5,1.5,23919
99,174.97269624928705,1.5,0.3352908193428841,183.77050340850064,1.0,0.0705703006772795,76.51782228469449,10.0,0.1441636784841881,193.7767069061494,1.0,0.0198313215398322,48.286524975012775,1.0,0.2173214451510505,2.5,1.5,3.5,30093
