,epsilon_progress,nfe
0,0,0
1,43,100
2,293,1193
3,488,2291
4,685,3384
5,850,4481
6,951,5575
7,1049,6672
8,1132,7764
9,1206,8858
10,1259,9950
11,1396,11041
