,epsilon_progress,nfe
0,0,0
1,26,100
2,287,1196
3,472,2289
4,624,3386
5,797,4479
6,921,5577
7,1026,6667
8,1115,7759
9,1173,8844
10,1236,9940
11,1369,11116
