,epsilon_progress,nfe
0,0,0
1,26,100
2,245,1193
3,430,2288
4,596,3382
5,780,4476
6,911,5573
7,1011,6670
8,1100,7766
9,1171,8864
10,1235,9959
11,1451,11389
