,epsilon_progress,nfe
0,0,0
1,31,100
2,245,1197
3,457,2293
4,644,3391
5,812,4391
6,951,5489
7,1077,6583
8,1177,7674
9,1242,8770
10,1316,9862
11,1528,11489
