,epsilon_progress,nfe
0,0,0
1,28,100
2,190,1100
3,391,2197
4,580,3293
5,750,4390
6,870,5488
7,1003,6584
8,1089,7679
9,1171,8777
10,1229,9861
11,1390,11187
