,epsilon_progress,nfe
0,0,0
1,38,100
2,252,1196
3,423,2292
4,649,3387
5,840,4483
6,956,5576
7,1063,6672
8,1158,7767
9,1248,8862
10,1312,9955
11,1471,11242
