,epsilon_progress,nfe
0,0,0
1,35,100
2,275,1193
3,485,2289
4,630,3386
5,770,4483
6,923,5577
7,1050,6670
8,1151,7767
9,1277,8862
10,1344,9951
11,1558,11302
