,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,1,3,0,0,5,0,1,0.0,232084643.08629864,199900000.0,0.0,0.0,431984643.08629864
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,9,4,0,6,2,0,4,0,0,7004486.001913382,174087279.90243146,115300000.0,198.0707924424119,0.0008369522528646616,289387477.9732239
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,9,3,3,3,1,3,5,0,0,0.0,251894663.38077772,115300000.0,0.0,0.0,367194663.3807777
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,8,2,0,6,2,1,3,0,0,31900723.97624863,187184419.39644256,0.0,2238.785035044271,0.004804536898692726,187186658.1814776
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,2,0,6,2,0,0,0,0,111389809.7071104,141817993.06129274,30700000.0,8896.996920044172,0.016050745884808308,172526890.0582128
5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,6,2,1,2,0,0,20232768.873580918,152366883.82229936,115300000.0,0.0,0.027506431724332987,267666883.82229936
6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,3,0,1,3,1,5,0,0,6346701.738296293,171648480.15857697,199900000.0,426.618638475554,0.0019606611637387416,371548906.7772154
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,5,0,7,0,1,5,0,0,3075984.4075611597,228645598.25894302,0.0,0.0,0.005626386324945611,228645598.25894302
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,8,4,0,1,0,0,3,0,0,14479538.719498986,167913475.66972184,84600000.0,703.0296837786311,0.0030884203299431927,252514178.6994056
9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,0,5,0,3,5,0,0,17367350.01095545,166852974.37361532,84600000.0,0.0,0.030752724395000087,251452974.37361532
