,epsilon_progress,nfe
0,0,0
1,32,100
2,255,1100
3,461,2198
4,666,3296
5,838,4395
6,969,5494
7,1074,6588
8,1186,7684
9,1276,8772
10,1350,9866
11,1567,11339
