,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,7,0,0,6,0,0,6,5,6,7,0,2,2660061.7815977326,260835683.33105445,442300000.0,144.3140237793582,0.00020066225209559093,703135827.6450782
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,6,6,0,0,5,3,0,9,2,3,7,0,1,196836.52020825463,394958967.6486168,92100000.0,0.0,0.0001133739577789178,487058967.6486168
2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,7,0,0,7,5,9,9,2,4,7,0,3,196836.52020825463,371727602.28580976,115300000.0,5.702951344683286,4.08146248004104e-05,487027607.9887611
3,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,0,7,0,0,10,0,0,9,6,5,7,0,0,7547619.152223371,252476496.43510166,419100000.0,38.84834764698117,0.0017138583054730422,671576535.2834493
4,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,6,0,0,7,0,0,5,0,0,6,0,2,3,0,3,11626034.404652147,248309376.97204626,351800000.0,339.0985326677775,0.001903139991198213,600109716.0705789
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,6,0,0,7,0,1,5,5,0,5,0,3,29617373.64528075,264983087.7482687,30700000.0,1891.4301992047726,0.002234836463584815,295684979.1784679
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,7,0,0,3,2,0,0,2,5,0,0,2,204211027.75036222,211072288.6858988,30700000.0,13190.991318260483,0.018298116050816212,241785479.67721707
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,7,4,6,6,4,5,7,1,1,16405421.711025596,428494729.68174094,0.0,955.1998494348015,0.0015274857660856989,428495684.88159037
8,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,6,4,5,4,0,2,34971799.570227034,182415210.8345096,351800000.0,909.6391176855648,0.010545496437924809,534216120.47362727
9,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,7,0,0,7,0,0,6,2,6,7,0,0,6032757.363892021,189754785.73270458,436400000.0,185.05825643271987,0.0010525913881841563,626154970.790961
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,6,0,0,3,0,6,9,7,2,7,0,0,54481360.331347,261450259.63365299,30700000.0,2181.5080798174304,0.009211677468185377,292152441.1417328
