,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,5,0,7,0,0,0,7454754.33477246,140615610.536591,61400000.0,0.0,0.009184913224630149,202015610.536591
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,7,2,4,5,1,10,3,0,0,2973494.066524913,326556747.8793886,0.0,0.0,0.005261599088052521,326556747.8793886
2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,6,3,0,5,0,5,0,1,0,989791.6854816386,209726706.22427583,151900000.0,0.0,0.002166265951699444,361626706.2242758
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,10,0,0,7,4,0,5,3,1,2,0,0,675478.8597773578,224068446.19784003,30700000.0,64.33064455861457,6.857642910804469e-05,254768510.52848458
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,6,7,0,5,0,2,0,0,0,20240843.423092894,182998202.45235437,0.0,1358.9552626781149,0.005243365006741692,182999561.40761706
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,5,0,1,3,0,0,7552048.510257262,179498461.39566788,30700000.0,0.0,0.009420580569338175,210198461.39566788
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,7,0,0,5,0,3,0,0,0,10227157.683229258,187573690.729561,0.0,681.5496984565659,0.0018941756716989071,187574372.27925944
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,3,0,0,0,0,0,185204866.19181365,96661907.75795628,30700000.0,0.0,0.2130671943932218,127361907.75795628
8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,3,0,0,0,0,0,145623529.7568874,90031328.82615109,61400000.0,0.0,0.19931825426732444,151431328.82615107
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,1,0,2,0,0,0,150744180.1171447,108746924.55463253,0.0,0.0,0.16045218079737222,108746924.55463253
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,2,0,0,0,0,0,150825128.52780703,99780563.2019331,30700000.0,0.0,0.15639666940910038,130480563.2019331
11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,4,0,0,0,0,0,16201523.321572099,119771003.60375288,61400000.0,0.0,0.0192603718208846,181171003.60375288
12,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,5,0,0,0,0,0,108804083.90097395,92646692.8157975,92100000.0,0.0,0.1236785747294258,184746692.8157975
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,5,1,5,0,0,0,24625987.89480655,144763163.27720797,30700000.0,0.0,0.032954192768746726,175463163.27720797
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,9,0,0,7,0,0,2,3,1,0,0,0,22069249.195060506,180758653.9925328,0.0,2320.459842301362,0.0028866319918875558,180760974.45237508
15,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,9,0,0,6,0,0,5,0,1,0,0,0,253953.7158314587,139936681.70142236,213300000.0,0.0,0.0001894232854766529,353236681.70142233
16,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,9,0,0,6,0,0,5,0,3,0,0,0,253953.7158314587,142459421.0555738,182600000.0,22.226876007102987,2.273079425719835e-05,325059443.28244984
17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,9,0,0,6,4,0,6,0,2,3,0,0,1321324.7354187805,205599351.6660949,61400000.0,93.05069586744538,0.00019679886387344856,266999444.71679077
18,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,8,0,0,5,0,0,4,0,0,0,0,0,7766147.430265915,119771003.60375288,182600000.0,555.8365036933784,0.0011190142943588036,302371559.44025654
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,3,0,2,0,0,0,119471242.5426397,111406595.25011334,0.0,0.0,0.14184474936768793,111406595.25011334
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,7,0,0,5,0,0,4,0,1,0,0,0,38624712.86749257,119039091.89352779,30700000.0,2744.257511855269,0.00558618068206931,149741836.15103966
21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,3,0,0,5,0,0,0,0,0,112558042.96227966,94676907.06835513,61400000.0,6567.922094141285,0.01949255838947591,156083474.99044928
22,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,6,0,0,5,0,0,7,0,0,1331592.7604453065,176653089.15166378,151900000.0,0.0,0.001664861889493485,328553089.1516638
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,5,4,0,4,0,0,0,0,0,25287291.71884235,159719122.9997558,0.0,2083.9714412578933,0.005648177410258836,159721206.97119707
24,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,6,0,0,5,0,1,0,0,0,7513130.840063343,131222086.61084318,151900000.0,0.0,0.009326313631454967,283122086.6108432
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,7,0,0,5,0,0,3,0,1,0,0,0,42977253.4105033,117558410.46709421,30700000.0,3173.205847871621,0.00592069519139804,148261583.67294207
26,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,9,0,0,5,0,0,4,0,2,0,0,0,3888022.648135506,136872400.6203075,182600000.0,269.5371223920813,0.0008114490602321831,319472670.1574299
27,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,9,0,0,5,0,0,4,0,0,0,0,0,4659598.346040243,128485598.69433206,182600000.0,267.15557789010666,0.0010915494745327328,311085865.84990996
